date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:34	101813/101813	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d5-1de37%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/quote.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/quote.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:34	127573/127573	---M--	200	added ('OK')	image/png	etag:%225f28f8ed-200f9%22	https://templates.hibootstrap.com/pento/default/assets/img/home-two/among3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-two/among3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:34	2034/2034	---M--	200	added ('OK')	image/png	etag:%225f28f8e9-7f8%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process6.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process6.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:34	116981/116981	---M--	200	added ('OK')	image/png	etag:%225f28f8ec-1ddf2%22	https://templates.hibootstrap.com/pento/default/assets/img/home-two/among2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-two/among2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:35	3992/3992	---M--	200	added ('OK')	image/png	etag:%225f28f8e9-10cf%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process7.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process7.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:35	113139/113139	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8e8-1ca18%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process1.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process1.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:35	2753/2753	---M--	200	added ('OK')	image/png	etag:%225f28f8e8-ac1%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:35	2707/2707	---M--	200	added ('OK')	image/png	etag:%225f28f8e8-a93%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:35	2609/2609	---M--	200	added ('OK')	image/png	etag:%225f28f8e8-a31%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/process4.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/process4.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:36	62998/62998	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8e9-10744%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/team1.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/team1.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:36	71515/71515	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8e9-12787%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/team2.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/team2.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:36	62045/62045	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8ea-1019a%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/team3.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/team3.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:36	52282/52282	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8ea-d914%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/team4.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/team4.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:36	3967/3967	---M--	200	added ('OK')	image/png	etag:%225f28f8e7-1146%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/faq2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/faq2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:37	1996/1996	---M--	200	added ('OK')	image/png	etag:%225f28f8e7-7cc%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/faq3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/faq3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
